Banco,ener_12,feb_12,mar_12,abri_12,mayo_12,jun_12,jul_12,agos_12,sept_12,oct_12,nov_12,dici_12,ener_13,feb_13,mar_13,abri_13,mayo_13,jun_13,jul_13,agos_13,sept_13,oct_13,nov_13,dici_13,ener_14,feb_14,mar_14,abri_14,mayo_14,jun_14,jul_14,agos_14,sept_14,oct_14,nov_14,dici_14,ener_15,feb_15,mar_15,abri_15,mayo_15,jun_15,jul_15,agos_15,sept_15,oct_15,nov_15,dici_15,ener_16,feb_16,mar_16,abri_16,mayo_16,jun_16,jul_16,agos_16,sept_16,oct_16,nov_16,dici_16,ener_17,feb_17,mar_17,abri_17,mayo_17,jun_17,jul_17,agos_17,sept_17,oct_17,nov_17,dici_17,ener_18,feb_18,mar_18,abri_18,mayo_18,jun_18,jul_18,agos_18,sept_18,oct_18,nov_18,dici_18,ener_19,feb_19,mar_19,abri_19,mayo_19,jun_19,jul_19,agos_19,sept_19,oct_19,nov_19,dici_19
NEVASA,,287153,333799,411553,351177,279527,,,,,,,,,,,,,,,,,,,,445380,679783,648187,,,,,,,372597,390533,,,,600080,519115,761789,1153106,1171601,1380282,1006094,1269506,1058234,1213557,1346082,1205191,1044615,933371,928002,1003171,1193740,851458,928179,1097184,1025460,1199062,996183,970742,978757,801203,891327,752853,1038011,676605,,894491,815123,,,,,,,,,,,,,,,,
SECURITY,446591,432756,456580,419991,340903,,225718,,178120,,207191,230984,,,,,,,,,636108,,479041,415961,370653,,573550,801292,655697,712054,626413,447419,,,377694,,,,,352319,,,,,,,,,,,,,,463954,,,554505,,,,,,,,,,,677383,,,,,,,,,,,,,,,,,388329,,,
EUROAMERICA,,,,,,,,333004,,237088,,,,590512,469507,441309,360923,459191,567500,379309,,380552,,351254,,377407,,,,,,,,,,,,330821,,,306278,,,,,,,,,,,786950,655164,674041,622513,515498,530194,526465,675894,,,,,,,,529085,,,,,,,,329408,,,,,,,,,,,,,
CORPCAP,387529,,,,,,233185,,173407,504227,220862,452973,400418,,,659987,455911,493530,481206,343843,497019,484057,380581,,389097,,,,580514,,585940,487672,795344,561454,,434207,589282,389319,572604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467599,,553044,,,729451,,,676323,,841829,743568,,343023,302733,404488,,488439,367161,,783835,,320787,,,,580597,462796,379766
BTG PACTUAL,,,,,,,,8419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333548,485829,273447,400213,329115,,405770,,352237,365926
SCOTIA,,,,,,305170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290316
FINANZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315335,,,341102,336040,410345,,264868,375275,299079,324678,405459,488160,,363116
MBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350558,,388302,,,,,,,414887,,340189
DEUTSCHE,,,,,,,,,,,,,491407,450570,270147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
